URL,University Name (Tab Title)
https://buniv.edu.in/,Bodoland University | Kokrajhar
https://cblu.ac.in/,"Chaudhary Bansi Lal University – Bhiwani, Haryana-127021"
https://clujammu.ac.in/,Cluster University Of Jammu
https://cottonuniversity.ac.in/,"Welcome to Cotton University, Assam, India, A State University"
https://data.gov.in/,Home | Open Government Data (OGD) Platform India
https://dbrau.ac.in/,"Dr Bhimrao Ambedkar University, Agra – Dr Bhimrao Ambedkar University, Agra"
https://dduniversity.ac.in/,Dharanidhar University
https://deb.ugc.ac.in/,Distance Education Bureau | UGC
https://dpsru.edu.in/,Delhi Pharmaceutical Sciences and Research University
https://drntruhs.in/,drntruhs.in
https://drysrhu.ap.gov.in/,Dr.Y.S.R. Horticultural University
https://dseu.ac.in/,DSEU
https://dsmru.up.nic.in/,Dr Shakuntala Misra National Rehabilitation University
https://dsrrauexam.org/,"DR. SARVEPALLI RADHAKRISHNAN RAJASTHAN AYURVED UNIVERSITY, JODHPUR"
https://duk.ac.in/,Digital University Kerala – Curating a responsible digital world
https://eprocure.gov.in/eprocure/app,eProcurement System Government of India
https://fmuniversity.nic.in/,Privacy error
https://gbu.gujarat.gov.in/Announcements.php,Gujarat Biotechnology University – Gujarat Biotechnology University
https://gramodayachitrakoot.ac.in/,MGCGV - Mahatma Gandhi Chitrakoot Gramodaya Vishwavidyalaya
https://graupunjab.org/,Guru Ravidas Ayurved University
https://gug.ac.in/,Gulbarga University
https://hbtu.ac.in/,HBTU
https://hju.ac.in/,हरिदेव जोशी विश्वविद्यालय
https://hpuniv.ac.in/,Himachal Pradesh University
https://igkv.ac.in/,IGKV - Indira Gandhi Krishi Vishwavidyalaya
https://india.gov.in/,Home | National Portal of India
https://ioe.ugc.ac.in/,Institutions of Eminence
https://jbu.ac.in/,"A premier institution of higher education in Jorhat, celebrated its “Platinum Jubilee” in the year 2005"
https://jharkhanduniversities.nic.in/jsou/home,HTTP Status 404 – Not Found
https://jhkaushalvedskill.university/,"Home - Kaushal Vidya Entrepreneurship, Digital and Skill University"
https://jntukucev.ac.in/,Privacy error
https://jpv.ac.in/,Jai Prakash University | JPU Official Website
https://kalahandiuniversity.ac.in/,"Maa Manikeswari University, Bhawanipatna"
https://kaushalyaskilluniversity.ac.in/,Kaushalya- The Skill University
https://kmclu.ac.in/,"Khwaja Moinuddin Chishti Language University, Lucknow"
https://knruhs.telangana.gov.in/,Home - KALOJI NARAYANA RAO UNIVERSITY OF HEALTH SCIENCES
https://kokrajharuniversity.ac.in/,क’क्राझार मुलुगसोलोंसालि – KOKRAJHAR UNIVERSITY
https://kslu.karnataka.gov.in/,"ಕರ್ನಾಟಕ ರಾಜ್ಯ ಕಾನೂನು ವಿಶ್ವವಿದ್ಯಾಲಯ, ಹುಬ್ಬಳ್ಳಿ - Index"
https://ksoumysuru.ac.in/,KSOU Mysuru
https://ksrdpru.ac.in/,"MGRDPRU – Mahatma Gandhi Rural Development & Panchyat Raj University, Gadag"
https://kttv.edu.in/,Krantivir Tatya Tope Vishwavidyalay
https://ktu.edu.in/,APJ Abdul Kalam Technological University
https://kuk.karnataka.gov.in/en,ಕೊಡಗು ವಿಶ್ವವಿದ್ಯಾಲಯ - Index
https://kuu.ac.in/,KHALLIKOTE UNITARY UNIVERSITY
https://litu.edu.in/,"LIT University, Nagpur"
https://lnmu.ac.in/,Just a moment...
https://madhabdevuniversity.ac.in/,Madhabdev University
https://mbbuniversity.ac.in/,Home | Maharaja Bir Bikram University
https://mbspsu.ac.in/en/,The Maharaja Bhupinder Singh Punjab Sports University
https://mcbu.ac.in/,MCBU - Maharaja Chhatrasal Bundelkhand University
https://mcu.karnataka.gov.in/english,Maharani Cluster University - Index
https://mgsubikaner.ac.in/,Maharaja Ganga Singh University
https://mguvv.ac.in/,Mahatma Gandhi Udyanikee Evam Vanikee Vishwavidyalaya
https://mkuniversity.ac.in/,MADURAI KAMARAJ UNIVERSITY - OFFICIAL SITE
https://mlu.ac.in/,Madusudan Law University - Madusudan Law University
https://mnlumumbai.edu.in/,Maharashtra National Law University Mumbai
https://mpmsu.edu.in/,"Madhya Pradesh Medical Science University, Hindi medical education"
https://mpublp.ac.in/,"Maa Pateswari University, Balrampur | State University in Uttar Prades"
